time,open,high,low,close,Basis,Upper,Lower,Plot,Plot,Shapes,Shapes,Basis,Upper,Lower,Volume,Vwap midle Line,Plot,RSI Color,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Infinity Reversal Line,Volume EMA,Infinty X Trend
2024-10-19,68407.8,68684.9,68000,68357.1,61522.453448275846,68470.68513274091,54574.22176381078,NaN,NaN,0,0,63831.385000000024,69814.43278328594,57848.33721671411,68632.108,50,69.66291181057883,68.98602432279918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-20,68357.1,69425.8,68069.8,69020.1,61608.663793103435,68798.58147962177,54418.7461065851,NaN,NaN,0,0,64160.98500000002,70160.89160002986,58161.07839997018,105939.492,50,69.41243092212899,70.66958998536792,NaN,NaN,NaN,NaN,70.66958998536792,NaN,70.66958998536792,NaN,102,99,96
2024-10-21,69020.2,69566,66865.9,67368.8,61664.73793103447,68981.6236623613,54347.852199707646,NaN,NaN,0,0,64500.175000000025,70428.17548983467,58572.17451016537,253437.333,50,66.43379804796122,61.68768916623256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-22,67368.7,67825,66536.5,67406.4,61720.1896551724,69160.50029243068,54279.87901791412,NaN,NaN,0,0,64796.175000000025,70529.0277809007,59063.32221909935,218518.977,50,63.77126697943621,61.806722653609086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-23,67406.5,67449,65222.3,66647.2,61786.3896551724,69331.80622535034,54240.97308499445,NaN,NaN,0,0,65102.14500000002,70870.10257108907,59334.18742891097,248215.058,50,60.08156897329889,57.89536403370947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-24,66647.3,68842.5,66482,68173.8,61937.929310344814,69635.80641206117,54240.05220862846,NaN,NaN,0,0,65334.13000000003,70959.5270139343,59708.732986065756,212340.722,50,59.59494626021889,62.969943297558075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-25,68173.8,68748,65557.2,66662.8,62069.87413793102,69824.61866015245,54315.12961570959,NaN,NaN,0,0,65548.25500000002,71095.35883550586,60001.151164494186,348511.871,50,55.93834770478526,55.80128011969935,55.80128011969935,NaN,55.80128011969935,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-26,66662.7,67450,66414.1,67071.8,62203.47068965516,70030.97641401288,54375.96496529743,NaN,NaN,0,0,65838.35000000002,71258.13504241515,60418.56495758489,94169.992,50,54.01259593265946,57.22092521935574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-27,67071.9,68306.1,66909.4,67992.6,62356.85517241378,70282.8391498078,54430.87119501976,NaN,NaN,0,0,66228.76500000001,71649.21056444288,60808.31943555715,88468.808,50,54.52276105803923,60.31164664767468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-28,67992.7,70331,67584.2,69940,62546.477586206885,70660.5963988013,54432.358773612475,NaN,NaN,0,0,66835.42000000001,72318.56192506342,61352.27807493661,263938.547,50,57.59032212147543,65.91963664741246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-29,69939.9,73660,69733,72739.5,62813.22586206895,71227.39234907948,54399.05937505842,NaN,NaN,0,0,67438.21,72550.07918960131,62326.340810398695,382502.06,50,61.3992397387881,72.03669518085246,NaN,NaN,NaN,NaN,72.03669518085246,NaN,72.03669518085246,NaN,102,99,96
2024-10-30,72739.5,72984.9,71444.2,72349,63041.44827586206,71754.44120843714,54328.45534328697,NaN,NaN,0,0,67828.85500000001,72553.73636421344,63103.97363578658,227108.808,50,60.93148847237083,70.14538494718954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-10-31,72349,72720.3,69705,70321.9,63263.344827586196,72050.84254322287,54475.84711194952,NaN,NaN,0,0,68144.83000000002,72405.21405362588,63884.44594637416,256485.328,50,56.51804877477562,61.16759903989119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-01,70321.9,71650,68822.5,69495.5,63462.4948275862,72282.31654987781,54642.67310529458,NaN,NaN,0,0,68471.17000000001,71991.78881327534,64950.55118672468,352591.088,50,51.77580236768243,57.91336516822765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-02,69495.4,69913.1,69022.8,69366.6,63690.44137931033,72425.04759533549,54955.83516328517,NaN,NaN,0,0,68606.05000000002,71949.84035556749,65262.25964443254,79314.105,50,48.107263944821,57.40039805429594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-03,69366.6,69393.7,67446.6,68762.5,63946.21379310343,72386.15920953585,55506.26837667101,NaN,NaN,0,0,68645.56000000001,71932.78859466569,65358.33140533434,226477.376,50,44.19805670123777,54.94414697054944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-04,68762.5,69495.3,66810,67834.3,64182.41034482758,72270.26170748327,56094.55898217189,NaN,NaN,0,0,68733.61500000002,71997.50561352984,65469.72438647021,244912.166,50,39.29018949505409,51.31097828863633,51.31097828863633,NaN,51.31097828863633,51.31097828863633,NaN,NaN,NaN,NaN,102,99,96
2024-11-05,67834.4,70537.4,67454.2,69353.1,64432.64310344826,72242.05209853777,56623.23410835875,NaN,NaN,0,0,69142.535,73501.83967587382,64783.23032412618,273070.87,50,40.684081962455444,56.392240517681046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-06,69353.1,76420,69272.7,75579.9,64752.813793103436,72836.55552808446,56669.07205812242,NaN,NaN,0,0,69515.11500000002,74746.13419448664,64284.095805513396,677440.286,50,51.216739900579476,70.14753232478886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-07,75579.9,76900,74450,75859.4,65067.47413793102,73430.4084978536,56704.539778008446,NaN,NaN,0,0,69921.37000000001,75933.2951695603,63909.44483043973,280675.033,50,55.57761064774307,70.59588089225976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-08,75859.4,77182.9,75576.3,76482.2,65398.09827586206,74019.74745880824,56776.44909291587,NaN,NaN,0,0,70304.12000000001,76976.25386064718,63631.98613935284,230370.324,50,57.40120373066982,71.6187465481657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-09,76482.2,76920,75683.2,76675.1,65718.41034482757,74607.53599282002,56829.28469683512,NaN,NaN,0,0,70956.18000000001,78799.59651924678,63112.76348075324,117754.034,50,57.55048805715195,71.94428335359184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-10,76675.1,81699.8,76501.1,80410,66062.44137931034,75629.00407704627,56495.878681574424,NaN,NaN,0,0,72022.30500000001,82867.87645852142,61176.7335414786,417426.899,50,59.19667637304084,77.35919951555402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-11,80409.9,89800,80261.2,88728.9,66558.38793103446,77667.06354967279,55449.712312396136,NaN,NaN,0,0,73088.545,85665.4743819238,60511.61561807619,614141.662,50,62.415299601815434,84.52396164610826,NaN,NaN,NaN,NaN,84.52396164610826,NaN,84.52396164610826,NaN,102,99,96
2024-11-12,88729,90070.1,85159.9,87972,67056.17241379309,79311.75433066301,54800.59049692316,NaN,NaN,0,0,74200.51999999999,88637.68324470999,59763.35675528999,639481.584,50,61.828938910223165,81.98190462855617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-13,87972,93421.1,86180,90413.3,67611.79827586206,81071.51365382836,54152.082897895765,NaN,NaN,0,0,75236.515,90320.58173762406,60152.44826237594,555288.297,50,60.67804569745953,83.68613974617597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-14,90413.3,91846.1,86714,87382.7,68079.06896551723,82345.88898039276,53812.248950641704,NaN,NaN,0,0,76436.655,92517.83027899938,60355.479721000615,364621.68,50,57.53716610775666,74.29204198431441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-15,87382.6,91921.5,87111,91074.6,68584.91896551722,83954.10215191993,53215.73577911452,NaN,NaN,0,0,77569.18999999999,94289.80588912347,60848.5741108765,314431.908,50,55.8323059423719,77.59201467018175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-16,91074.6,91849.8,90120,90643.3,69062.78793103446,85392.12512053509,52733.45074153382,NaN,NaN,0,0,78567.185,95724.20669495338,61410.16330504662,129023.447,50,53.54293831888127,76.35886318658241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-17,90643.2,91539.6,88736.1,89899.9,69523.54999999999,86651.0618602534,52396.03813974659,NaN,NaN,0,0,79455.58,97145.34469867236,61765.815301327646,167504.792,50,51.05794274850368,74.17079859413508,74.17079859413508,NaN,74.17079859413508,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-18,89900,92700,89422.1,90507.4,69992.28793103447,87886.03755123622,52098.53831083272,NaN,NaN,0,0,80454.925,98676.14466772524,62233.70533227477,333557.11,50,49.27178847517179,74.80613521287809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-19,90507.4,93985.9,90405.6,92335.9,70488.45172413792,89217.49007996768,51759.41336830816,NaN,NaN,0,0,81653.23,100200.5818419315,63105.87815806849,303532.031,50,48.59331577453082,76.66653194198275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-20,92335.9,94849,91500,94288,71022.69310344827,90647.59658841623,51397.78961848031,NaN,NaN,0,0,83096.795,102122.44467063928,64071.14532936072,290044.227,50,48.542343516074965,78.49249732096352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-21,94288,99100,94008.7,98366.8,71611.03275862067,92399.20098985772,50822.864527383615,NaN,NaN,0,0,84574.535,103695.73938395799,65453.330616042025,418383.136,50,49.367466893100556,81.71266634018447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-22,98366.8,99660,97199.9,98921.4,72228.32586206894,94070.66928448736,50385.98243965053,NaN,NaN,0,0,86022.68500000001,104510.98912236578,67534.38087763425,265774.067,50,49.26871773756283,82.10499730638966,NaN,NaN,NaN,NaN,82.10499730638966,82.10499730638966,82.10499730638966,NaN,102,99,96
2024-11-23,98921.5,98937.3,97173.5,97725.5,72790.15862068965,95532.0653165414,50048.251924837896,NaN,NaN,0,0,87528.99000000002,104706.88010360644,70351.0998963936,120358.422,50,48.07823433560384,78.20865845206279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-24,97725.6,98666,95822.1,97960.4,73345.51724137929,96930.14210195324,49760.89238080534,NaN,NaN,0,0,88714.535,103864.20536951933,73564.86463048068,173118.84,50,46.766371165155306,78.42523233841113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-25,97960.5,98999,92666,93064,73815.19655172412,97862.32017184459,49768.072931603645,NaN,NaN,0,0,89536.61000000002,103482.67134331774,75590.5486566823,329375.021,50,43.22189931836998,64.120019499649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-26,93064,95064,90866.4,92021.4,74271.28793103447,98676.22858289458,49866.34727917437,NaN,NaN,0,0,90538.9,103234.28731413893,77843.51268586106,344929.233,50,40.08586901126541,61.54570401838447,61.54570401838447,NaN,61.54570401838447,61.54570401838447,NaN,NaN,NaN,NaN,102,99,96
2024-11-27,92021.5,97250,91864,95905.2,74833.2896551724,99699.48867973675,49967.09063060804,NaN,NaN,0,0,91499.51,102602.6377503053,80396.3822496947,237005.987,50,40.510657613290114,66.88005460244091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-28,95905.2,96627.6,94700.1,95694.4,75435.31724137928,100600.06207510308,50270.572407655476,NaN,NaN,0,0,92541.56999999999,101609.29384208954,83473.84615791045,154007.026,50,40.818780863418766,66.34212615897839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-29,95694.4,98713.3,95404.5,97516.3,76071.41551724136,101569.2433293571,50573.58770512562,NaN,NaN,0,0,93344.825,100645.66569237909,86043.9843076209,190520.949,50,42.16509585885654,68.68635560880612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-11-30,97516.2,97522.1,96150,96475.1,76687.75862068964,102399.49102182624,50976.02621955304,NaN,NaN,0,0,93771.635,100940.03553325015,86603.23446674984,93074.218,50,42.4026390687703,65.8631017789903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-12-01,96475.2,97933,95736.5,97265.1,77294.8396551724,103257.36862186102,51332.310688483776,NaN,NaN,0,0,94167.56,100870.52235507818,87464.59764492181,113222.99,50,43.18592909976902,66.97236482682538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-12-02,97265,98266,94400,95890.5,77878.76034482756,103964.24828553457,51793.27240412055,NaN,NaN,0,0,94442.56,100955.45738392946,87929.66261607053,257613.911,50,42.98966281752119,63.12848512067244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-12-03,95890.6,96375,93605,95913.3,78449.86379310343,104639.09486827192,52260.63271793495,NaN,NaN,0,0,95006.915,100901.77997123478,89112.05002876521,206601.98,50,43.092804397463034,63.16624784393765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-12-04,95913.3,99099.9,94650.8,98669.8,79078.81379310341,105427.59029481604,52730.03729139079,NaN,NaN,0,0,95303.25999999998,100969.05254876177,89637.46745123819,275949.205,50,45.501885557318,67.49999514239003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-12-05,98669.8,104630.4,90200,97001.5,79680.01724137929,106045.87225860148,53314.162224157095,NaN,NaN,0,0,95761.21999999999,101326.09937285278,90196.34062714719,580277.391,50,45.65440543082903,62.69234379143144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-12-06,97001.6,101988.8,96429.5,99802.5,80355.81206896549,106740.7848329984,53970.83930493258,NaN,NaN,0,0,96261.18499999997,101411.09603778625,91111.27396221369,282369.608,50,48.042452451410696,66.94872991949822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-12-07,99802.5,100499,98876.9,99899.2,81038.67413793101,107361.3516510847,54715.996624777326,NaN,NaN,0,0,96795.81499999997,101657.4440587734,91934.18594122655,95858.658,50,49.3768457746114,67.08833171332846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-12-08,99899.2,101457.9,98709.4,101200,81705.76034482756,108077.28181914316,55334.23887051197,NaN,NaN,0,0,97046.47499999998,101458.6368124806,92634.31318751935,109755.676,50,50.87182976534617,68.98603733073159,NaN,NaN,NaN,NaN,68.98603733073159,68.98603733073159,68.98603733073159,NaN,102,99,96
2024-12-09,101200.1,101300,94039.7,97349.1,82294.9517241379,108510.70924122765,56079.19420704817,NaN,NaN,0,0,97162.19499999998,101396.72107051846,92927.6689294815,326973.59,50,48.314378222691076,58.27362299352342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2024-12-10,97349.1,98320.6,94265.5,96602.4,82877.06551724135,108837.1178978158,56917.01313666691,NaN,NaN,0,0,97299.61999999997,101848.34088684423,92750.8991131557,291490.744,50,45.74982432727215,56.44338401497311,56.44338401497311,NaN,56.44338401497311,56.44338401497311,NaN,NaN,NaN,NaN,102,99,96
